 Month  Day  Year  Parameter  DepthEmax  |Error|max  DepthEmin  |Error|min  |Error|mean
    9     6  1990    TEMP       5.000      -6.712      10.000      -0.025      -3.369
    9     6  1990    DO         3.000      -5.715       5.000       0.136      -2.789
    9    20  1990    TEMP       7.000      -4.983       0.000      -0.253      -2.618
    9    20  1990    DO         1.000       4.505      14.000       0.143       2.324
   10     4  1990    TEMP       9.000      -3.116       0.000       0.028      -1.544
   10     4  1990    DO         7.000      -5.954      10.000       0.144      -2.905



 ANALYSIS OF ERRORS BETWEEN DATA AND MODEL

                                     TEMP       DO
 MAXIMUM ABSOLUTE ERROR             14.79   -11.45
 SLOPE: MODEL TO DATA REGRESSION     0.81     0.82
 REGRESSION COEFFICIENT (R**2)       0.68     0.42
 STANDARD ERROR OF ESTIMATE          3.33     3.15

 TOTAL NUMBER OF FIELD DATA IS:       532




 ANALYSIS OF ERRORS BETWEEN DATA AND MODEL AT CERTAIN DEPTHS


                                     WATER TEMPERATURES

 DEPTHS (M) FOR ERROR ANALYSIS       1.00     4.15     7.30    10.45    13.60
 SLOPE: MODEL TO DATA REGRESSION     0.83     1.11     1.07     0.60     0.61
 REGRESSION COEFFICIENT (R**2)       0.18     0.36     0.54    -0.23    -0.64
 STANDARD ERROR OF ESTIMATE          4.77     3.86     2.40     2.06     2.11
 TOTAL NUMBER OF DATA POINTS           40       40       32       31       28




                                     DISSOLVED OXYGEN

 DEPTHS (M) FOR ERROR ANALYSIS       1.00     4.15     7.30    10.45    13.60
 SLOPE: MODEL TO DATA REGRESSION     0.68     0.58     1.52     1.81     8.69
 REGRESSION COEFFICIENT (R**2)       0.24    -3.19     0.42     0.38     0.02
 STANDARD ERROR OF ESTIMATE          2.08     5.65     1.97     1.90     2.21
 TOTAL NUMBER OF DATA POINTS           40       40       32       31       28



 MAXIMUM CHLOROPHYLL-A  :           9-30-1992          0.000  (mg/l)
