 Month  Day  Year  Parameter  DepthEmax  |Error|max  DepthEmin  |Error|min  |Error|mean
 REGRESSION COEFFICIENT (R**2)       0.90     0.92     0.92     0.00     0.00
 STANDARD ERROR OF ESTIMATE          1.83     1.66     1.59     0.00     0.00
 TOTAL NUMBER OF DATA POINTS           40       40       39        4        1




                                     DISSOLVED OXYGEN

 DEPTHS (M) FOR ERROR ANALYSIS       1.00     1.67     2.35     3.02     3.70
 SLOPE: MODEL TO DATA REGRESSION     0.58     0.74     0.70     0.00     0.00
 REGRESSION COEFFICIENT (R**2)      -0.08     0.11     0.04     0.00     0.00
 STANDARD ERROR OF ESTIMATE          3.12     2.82     2.91     0.00     0.00
 TOTAL NUMBER OF DATA POINTS           40       40       39        4        1



 MAXIMUM CHLOROPHYLL-A  :          10-31-1993          0.000  (mg/l)
